Provider,Model Name,API Model Name,Context,Input/1M,Output/1M,Per Call,Total
OpenAI,GPT-4o,gpt-4o,128K/16K,2.5,10.0,$0.0075,$7.50
OpenAI,GPT-4o mini,gpt-4o-mini,128K/16K,0.15,0.6,$0.0004,$0.45
OpenAI,o1-preview,o1-preview,128K/32K,15.0,60.0,$0.0450,$45.00
OpenAI,o1-mini,o1-mini,128K/65K,3.0,12.0,$0.0090,$9.00
OpenAI,GPT-4o Realtime (Text),gpt-4o-realtime-preview,128K/16K,5.0,20.0,$0.0150,$15.00
OpenAI,GPT-4o Audio (Text),gpt-4o-audio-preview,128K/16K,5.0,20.0,$0.0150,$15.00
OpenAI,GPT-4o Realtime (Audio),gpt-4o-realtime-preview,128K,100.0,200.0,$0.2000,$200.00
OpenAI,GPT-4o Audio (Audio),gpt-4o-audio-preview,128K,100.0,200.0,$0.2000,$200.00
OpenAI,GPT-4 Turbo,gpt-4-turbo-preview,128K/4K,10.0,30.0,$0.0250,$25.00
OpenAI,GPT-3.5 Turbo,gpt-3.5-turbo,16K/4K,0.5,1.5,$0.0013,$1.25
OpenAI,GPT-4,gpt-4,8K/8K,30.0,60.0,$0.0600,$60.00
Anthropic,Claude 3.5 Sonnet,claude-3-5-sonnet-20240620,200K/8K,3.0,15.0,$0.0105,$10.50
Anthropic,Claude 3 Opus,claude-3-opus-20240229,200K/4K,15.0,75.0,$0.0525,$52.50
Anthropic,Claude 3 Sonnet,claude-3-sonnet-20240229,200K/4K,3.0,15.0,$0.0105,$10.50
Anthropic,Claude 3 Haiku,claude-3-haiku-20240307,200K/4K,0.25,1.25,$0.0009,$0.88
Metavia Deepinfra,Llama 3.1 405b,Llama 3.1 405b,128K/2K,1.79,1.79,$0.0027,$2.69
Metavia Deepinfra,Llama 3.2 90b Vision-Instruct,Llama 3.2 90b Vision-Instruct,128K/2K,0.35,0.4,$0.0006,$0.55
Metavia Deepinfra,Llama 3.1 70b,Llama 3.1 70b,128K/2K,0.35,0.4,$0.0006,$0.55
Metavia Deepinfra,Llama 3.2 11b Vision-Instruct,Llama 3.2 11b Vision-Instruct,128K/2K,0.055,0.055,$0.0001,$0.08
Metavia Deepinfra/Groq,Llama 3 70b,Llama 3 70b,8K/2K,0.59,0.79,$0.0010,$0.98
Google,Gemini 1.5 Pro,gemini-1.5-pro,128K,1.25,5.0,$0.0037,$3.75
Google,Gemini 1.5 Pro,gemini-1.5-pro,2M,2.5,10.0,$0.0075,$7.50
Google,Gemini 1.5 Flash,gemini-1.5-flash,128K,0.075,0.3,$0.0002,$0.23
Google,Gemini 1.5 Flash,gemini-1.5-flash,1M,0.15,0.6,$0.0004,$0.45
Google,Gemini 1.5 Flash-8B,gemini-1.5-flash-8b,128K,0.0375,0.15,$0.0001,$0.11
Google,Gemini 1.5 Flash-8B,gemini-1.5-flash-8b,1M,0.075,0.3,$0.0002,$0.23
Cohere,Command,Command,4K,10.0,20.0,$0.0200,$20.00
Cohere,Command R,Command R,128K/4K,0.5,1.5,$0.0013,$1.25
Cohere,Command R+,Command R+,128K,3.0,15.0,$0.0105,$10.50
Mistral AI,Mistral NeMo,open-mistral-nemo-2407,128K,0.15,0.15,$0.0002,$0.23
Mistral AIvia Anyscale,Mixtral 8x7B,Mixtral 8x7B,32K,0.5,0.5,$0.0008,$0.75
Mistral AI,Mistral Small 24.09,mistral-small-2409,128K,0.2,0.6,$0.0005,$0.50
Mistral AI,Mistral Large 2,mistral-large-2407,128K,2.0,6.0,$0.0050,$5.00
DataBricks,DBRX,DBRX,32K,2.25,6.75,$0.0056,$5.63
